Comment,Designator,Footprint,Qty,LCSC Part#,Note
100M 1206,R_BIAS1,R_1206_3216Metric,1,C5632242,
100R,"R7,R_RFI1,R_RFI2",R_0402_1005Metric,3,C25076,
100n 100V X7R,"Cp1,Cp2,Cp3",C_0805_2012Metric,3,C28233,
100n 25V X7R,"C2,C3,C_U3",C_0402_1005Metric,3,C77014,
100n 63V X7R,C1,C_0402_1005Metric,1,C162178,
100p C0G,"C10,C_RFI1,C_RFI2",C_0402_1005Metric,3,C445763,
10mH FNR5040S,L1,L_Changjiang_FNR5040S,1,C167995,
10n X7R,C8,C_0805_2012Metric,1,C1710,
10u 25V,"C5,C6",CP_Elec_4x5.4,2,C3343,
10u 25V X5R,C4,C_0603_1608Metric,1,C344022,
15V MMSZ15,Z_OSC1,D_SOD-123,1,C27754,
2.2k,R3,R_0402_1005Metric,1,C25879,
4.7u 50V X7R,C7,C_1206_3216Metric,1,C51205,
470k,"R4,R5",R_0402_1005Metric,2,C137976,
470n 100V X7R,"C9,Cres1",C_0805_2012Metric,2,C596323,
47M 1206,"R_GBIAS1,R_GBIAS2",R_1206_3216Metric,2,C163361,
47k,"R6,R_OSC1",R_0402_1005Metric,2,C25792,
6.8k,R_ZEN1,R_0402_1005Metric,1,C144738,
6.8k 0.1%,"R1,R2",R_0603_1608Metric,2,C2941290,
68V BZT52C68,DZ1,D_SOD-123,1,C242416,
BAT54S,"D1,D2",SOT-23,2,C83935,
CD40106B,U3,SOIC-14_3.9x8.7mm_P1.27mm,1,C38184,
L78L24,U2,SOT-89-3,1,C130141,
OPA1641,U1,SOIC-8_3.9x4.9mm_P1.27mm,1,C2057597,

# DNP (Do Not Populate) — optional presence-peak network
# Omit for K87/C12-type capsules (natural presence peak); populate for flat capsules
12n 25V C0G,C_PRES1,C_0402_1005Metric,1,,DNP — LCSC# needed
6.2k,R_PRES1,R_0402_1005Metric,1,,DNP — LCSC# needed
